ctrl: ADD P=0 W=0 | SUB P=0 W=3 | AND P=15 W=0 | OR P=15 W=3   (physical: Wn = 15 iff W = 0; W3 = W)
op  a b k |  nP  kg  Qg  c1  c2  c3  c4  c5  c6  c7 c4g   r  x1  x2 c3p   F
ADD (0, 0, 0) |  15   0   0   9   9   9   0   0   0   0   0   0   0   0   9   0
ADD (0, 0, 1) |  15   3   0   9   6   6   0   3   3   3   0   3   0   0   6   0
ADD (0, 1, 0) |  15   0   0   6   6   6   0   3   3   3   0   3   0   0   6   0
ADD (0, 1, 1) |  15   3   0   6   3   3   3   6   3   0   0   0   0   0   3   3
ADD (1, 0, 0) |  15   0   0   9   9   6   0   3   3   3   0   3   3   0   6   0
ADD (1, 0, 1) |  15   3   0   9   6   3   3   6   3   0   0   0   3   0   3   3
ADD (1, 1, 0) |  15   0   0   6   6   3   3   6   3   0   0   0   3   0   3   3
ADD (1, 1, 1) |  15   3   0   6   3   0   3   9   6   3   0   3   3   0   0   3
SUB (0, 0, 0) |  15   0   0   9   9   9   0   0   0   0   0   0   0   3   6   0
SUB (0, 0, 1) |  15   3   0   9   6   6   0   3   3   3   0   3   0   3   3   3
SUB (0, 1, 0) |  15   0   0   6   6   6   0   3   3   3   0   3   0   3   3   3
SUB (0, 1, 1) |  15   3   0   6   3   3   3   6   3   0   0   0   0   3   0   3
SUB (1, 0, 0) |  15   0   0   9   9   6   0   3   3   3   0   3   0   0   9   0
SUB (1, 0, 1) |  15   3   0   9   6   3   3   6   3   0   0   0   0   0   6   0
SUB (1, 1, 0) |  15   0   0   6   6   3   3   6   3   0   0   0   0   0   6   0
SUB (1, 1, 1) |  15   3   0   6   3   0   3   9   6   3   0   3   0   0   3   3
AND (0, 0, 0) |   0   0   0   9   9   9   0   0   0   0   0   0   0   0   9   0
AND (0, 0, 1) |   0   0   0   9   9   9   0   0   0   0   0   0   0   0   9   0
AND (0, 1, 0) |   0   0   0   6   6   6   0   3   3   0   0   0   0   0   6   0
AND (0, 1, 1) |   0   0   0   6   6   6   0   3   3   0   0   0   0   0   6   0
AND (1, 0, 0) |   0   0   0   9   9   6   0   3   3   0   0   0   3   0   6   0
AND (1, 0, 1) |   0   0   0   9   9   6   0   3   3   0   0   0   3   0   6   0
AND (1, 1, 0) |   0   0   0   6   6   3   3   6   3   0   3   3   3   0   3   0
AND (1, 1, 1) |   0   0   0   6   6   3   3   6   3   0   3   3   3   0   3   0
OR (0, 0, 0) |   0   0   3   9   6   6   0   3   3   0   0   0   0   3   3   0
OR (0, 0, 1) |   0   0   3   9   6   6   0   3   3   0   0   0   0   3   3   0
OR (0, 1, 0) |   0   0   3   6   3   3   3   6   3   0   3   3   0   3   0   0
OR (0, 1, 1) |   0   0   3   6   3   3   3   6   3   0   3   3   0   3   0   0
OR (1, 0, 0) |   0   0   3   9   6   3   3   6   3   0   3   3   0   0   6   0
OR (1, 0, 1) |   0   0   3   9   6   3   3   6   3   0   3   3   0   0   6   0
OR (1, 1, 0) |   0   0   3   6   3   0   3   9   6   0   3   3   0   0   3   0
OR (1, 1, 1) |   0   0   3   6   3   0   3   9   6   0   3   3   0   0   3   0
